molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
1732770,71.5,%,Imax,CHEMBL3234259,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(OC)c(OC)c4)ccc1c23,71.0,72.0,,
1732771,30.0,%,Imax,CHEMBL3234260,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccc(OC)cc4)ccc1c23,30.0,,,
1732772,10.0,%,Imax,CHEMBL3234261,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cc(C(N)=O)ccc4OC)ccc1c23,10.0,,,
1732773,64.5,%,Imax,CHEMBL3234262,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4nc(C)cc(C(F)(F)F)n4)ccc1c23,62.0,67.0,,
1732774,59.5,%,Imax,CHEMBL3234263,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4cc(Cl)ccc4Cl)ccc1c23,53.0,66.0,,
1732775,45.0,%,Imax,CHEMBL3234264,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccccc4Cl)ccc1c23,40.0,50.0,,
1732776,35.0,%,Imax,CHEMBL3234265,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccc(F)c(Cl)c4)ccc1c23,30.0,40.0,,
1732777,10.0,%,Imax,CHEMBL3234266,Nc1nonc1-c1nc2ccccc2n1CC(=O)N/N=C/c1cn(Cc2ccc(Cl)cc2Cl)c2ccccc12,10.0,,,
1732778,30.0,%,Imax,CHEMBL3234267,COc1ccc(-c2nnc(SCC(=O)NCCc3ccc(S(N)(=O)=O)cc3)nc2-c2ccc(OC)cc2)cc1,20.0,40.0,,
1732779,15.0,%,Imax,CHEMBL3234268,CC(=O)c1ccc(NC(=O)[C@@H](C)Sc2nnc(CNc3cccc(C(F)(F)F)c3)n2-c2ccccc2)cc1,10.0,20.0,,
1732780,10.0,%,Imax,CHEMBL3234269,COC(=O)c1c(NC(=O)c2cc3nc(-c4ccc(C)c(C)c4)cc(C(F)(F)F)n3n2)sc(C(N)=O)c1C,10.0,,,
